https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC
1654819200,2022-06-10 00:00:00,BTC/USDC,30078.628624,30307.69286675,28816.60936681,29055.87175959,1912457.04155342,64.85625041
1654732800,2022-06-09 00:00:00,BTC/USDC,30196.56312219,30635.61961141,29937.0,30077.99510871,534524.01611417,17.66507275
1654646400,2022-06-08 00:00:00,BTC/USDC,31099.57252977,31299.82207585,29840.31382853,30187.12339948,2023964.14185112,66.56758266
1654560000,2022-06-07 00:00:00,BTC/USDC,31348.20373217,31530.69219917,29216.04556529,31114.06824534,2752449.65508727,91.209189
1654473600,2022-06-06 00:00:00,BTC/USDC,29888.92242877,31728.43933165,29864.78784496,31343.89082512,2048986.34264952,65.78430925
1654387200,2022-06-05 00:00:00,BTC/USDC,29851.88870837,30147.6757886,29526.74694471,29887.28346686,509280.62797695,17.05293583
1654300800,2022-06-04 00:00:00,BTC/USDC,29673.35649146,29914.23143471,29462.8196719,29812.03372819,583323.21495467,19.64498545
1654214400,2022-06-03 00:00:00,BTC/USDC,30438.22298198,30650.21886089,29240.58551237,29673.98676646,803536.27519195,26.93355061
1654128000,2022-06-02 00:00:00,BTC/USDC,29780.45704439,30619.67839461,29578.66806441,30430.23965016,960794.81562485,31.91270442
1654041600,2022-06-01 00:00:00,BTC/USDC,31777.51877133,31939.22799159,29342.45796203,29771.99205269,1659596.38290069,54.33805833
1653955200,2022-05-31 00:00:00,BTC/USDC,31690.87503735,32361.03697999,31224.86320544,31778.80326423,1538758.88656845,48.47234995
1653868800,2022-05-30 00:00:00,BTC/USDC,29420.01863268,32173.42693568,29273.78457592,31689.90195195,3083697.85298317,99.87861688
1653782400,2022-05-29 00:00:00,BTC/USDC,29008.00110488,29528.08929827,28822.31068334,29428.66858065,464774.53047551,15.91634005
1653696000,2022-05-28 00:00:00,BTC/USDC,28614.96207116,29200.0,28503.23286343,28996.52295835,662111.84726023,22.96557152
1653609600,2022-05-27 00:00:00,BTC/USDC,29193.34924963,29349.00881361,28255.53619065,28573.65315782,1473474.14058794,51.03425412
1653523200,2022-05-26 00:00:00,BTC/USDC,29500.0,29843.58882772,28038.95938017,29196.59467434,2117157.90025264,72.87416441
1653436800,2022-05-25 00:00:00,BTC/USDC,29620.64571681,30176.3,29324.72003269,29508.3615046,1220657.86713191,41.06414095
1653350400,2022-05-24 00:00:00,BTC/USDC,29092.42965998,29800.0,28639.56614954,29620.64571681,970859.21541617,33.19521838
1653264000,2022-05-23 00:00:00,BTC/USDC,30238.87573107,30612.73581008,28871.64839731,29071.87121136,1205172.94695172,40.22433686
1653177600,2022-05-22 00:00:00,BTC/USDC,29398.2136513,30430.86256595,29228.03564661,30264.75702828,1023199.27551913,34.30758331
1653091200,2022-05-21 00:00:00,BTC/USDC,29180.66944436,29600.0,28937.0410888,29408.50364099,954951.77460979,32.58034742
1653004800,2022-05-20 00:00:00,BTC/USDC,30271.35730377,30585.99510974,28704.49361789,29169.27089484,4146137.5540764,138.69518226
1652918400,2022-05-19 00:00:00,BTC/USDC,28665.17954331,30500.0,28655.70764202,30284.11251492,2088521.13045961,70.63889182
1652832000,2022-05-18 00:00:00,BTC/USDC,30389.58595848,30658.16568352,28618.32544805,28626.31347782,1135559.69532551,38.69873151
1652745600,2022-05-17 00:00:00,BTC/USDC,29840.62554398,30733.65034366,29425.699847,30412.01668023,1561699.13437198,51.63630669
1652659200,2022-05-16 00:00:00,BTC/USDC,31273.0,31273.0,29073.00951654,29812.62928302,2030885.24097151,67.7710808
1652572800,2022-05-15 00:00:00,BTC/USDC,30021.0594628,31400.0,29466.31465344,31290.00830424,1347622.12507951,44.64152274
1652486400,2022-05-14 00:00:00,BTC/USDC,29237.42227979,30232.58720546,28591.04583627,30070.83255339,1127892.03856506,38.62231195
1652400000,2022-05-13 00:00:00,BTC/USDC,28919.36911308,30953.11622859,28688.23375739,29232.5769211,2366134.26959025,78.51542481
1652313600,2022-05-12 00:00:00,BTC/USDC,28967.46009982,30031.36363636,25050.0,28886.21971552,9023772.67531541,322.60849617
1652227200,2022-05-11 00:00:00,BTC/USDC,30999.95382193,32111.86660671,27700.0,28909.43710233,12009285.11604159,396.3934181
1652140800,2022-05-10 00:00:00,BTC/USDC,30042.34315632,32635.00755272,29754.40658813,30993.75253372,11589813.04488727,372.59340959
1652054400,2022-05-09 00:00:00,BTC/USDC,34065.94926205,34222.35878842,30040.84050394,30087.78651239,10988066.90645687,344.89152491
1651968000,2022-05-08 00:00:00,BTC/USDC,35438.87174574,35476.79266536,33724.19938572,34116.42685922,4029059.84570606,117.26847698
1651881600,2022-05-07 00:00:00,BTC/USDC,35993.3271956,36128.93254955,34786.50922103,35455.33941937,963548.20160779,27.23030895
1651795200,2022-05-06 00:00:00,BTC/USDC,36508.70215978,36638.37487347,35274.03910875,36009.87257062,3741981.32625969,104.08529442
1651708800,2022-05-05 00:00:00,BTC/USDC,39702.29732435,39812.32242883,35612.00089536,36570.5761929,5069761.50949033,136.89900216
1651622400,2022-05-04 00:00:00,BTC/USDC,37722.28057579,40000.0,37654.88337806,39666.85328838,2160518.04594845,55.37201561
1651536000,2022-05-03 00:00:00,BTC/USDC,38500.52638848,38637.29745897,37525.43863326,37720.0726177,768661.47446662,20.14716783
1651449600,2022-05-02 00:00:00,BTC/USDC,38497.99614286,39144.77142778,38062.22698315,38512.97585799,1490768.04731352,38.5750401
1651363200,2022-05-01 00:00:00,BTC/USDC,37625.55431407,38658.89534644,37414.82039542,38492.85251641,1047108.61495401,27.47665473
1651276800,2022-04-30 00:00:00,BTC/USDC,38607.16760792,38767.45488851,37580.73,37642.87172576,797007.86664976,20.87656092
1651190400,2022-04-29 00:00:00,BTC/USDC,39749.24825554,39929.53482023,38161.29230081,38575.26068373,1929534.50646818,49.6810076
1651104000,2022-04-28 00:00:00,BTC/USDC,39204.1722795,40330.0,38904.73179914,39749.84383952,3715753.81841093,93.98217193
1651017600,2022-04-27 00:00:00,BTC/USDC,38125.29601532,39457.45591815,37912.66717563,39240.27246216,2853908.80467785,73.61811024
1650931200,2022-04-26 00:00:00,BTC/USDC,40451.51743509,40786.34558776,37702.0,38092.41958041,5384975.12723204,137.12871884
1650844800,2022-04-25 00:00:00,BTC/USDC,39456.41061352,40561.3,38234.85203912,40424.32352907,5244401.56281964,133.64642217
1650758400,2022-04-24 00:00:00,BTC/USDC,39442.98590279,39952.07437143,39022.12892902,39469.83667301,2782732.58903408,70.35470609
1650672000,2022-04-23 00:00:00,BTC/USDC,39709.39181177,39983.7355041,39292.35162238,39456.38003425,1879092.88088551,47.34194127
1650585600,2022-04-22 00:00:00,BTC/USDC,40486.302115,40811.63849025,39201.96630874,39712.39591606,4078614.76747689,101.75849495
1650499200,2022-04-21 00:00:00,BTC/USDC,41365.06748466,42965.72845805,39822.13609332,40480.50828745,3818429.29101008,92.01459788
1650412800,2022-04-20 00:00:00,BTC/USDC,41479.91791468,42186.8291773,40897.50285058,41360.67059514,2007028.02442942,48.31465823
1650326400,2022-04-19 00:00:00,BTC/USDC,40814.33240221,41790.25885404,40581.37721768,41505.32978989,1964063.00839978,47.75253751
1650240000,2022-04-18 00:00:00,BTC/USDC,39684.83786554,41084.81941314,38559.80127509,40812.67440591,5127014.40187529,129.10661081
1650162114,2022-04-17 02:21:54,BTC/USDC,39686.59502735,39686.59502735,39686.59502735,39686.59502735,0.0,0.0
1650153600,2022-04-17 00:00:00,BTC/USDC,40375.11572254,40594.64002829,39555.0,39686.59502735,1564764.01312168,38.96465809
1650071505,2022-04-16 01:11:45,BTC/USDC,40374.10636988,40374.10636988,40374.10636988,40374.10636988,0.0,0.0
1650067200,2022-04-16 00:00:00,BTC/USDC,40577.84217563,40690.47053705,40015.89829148,40374.10636988,1577485.85707388,39.06586979
1649980800,2022-04-15 00:00:00,BTC/USDC,39940.98710579,40835.78382337,39770.20721223,40557.92579571,2331901.26123889,57.79431914
1649894400,2022-04-14 00:00:00,BTC/USDC,41149.72661002,41487.86127253,39569.53159041,39932.78022152,2907803.32891042,71.90708305
1649808000,2022-04-13 00:00:00,BTC/USDC,40085.98764352,41539.44415841,39585.91097009,41136.6017762,2427323.91147367,59.82828977
1649721600,2022-04-12 00:00:00,BTC/USDC,39539.84779367,40685.47108614,39259.02742966,40078.78516793,3012033.30396326,75.26340313
1649635200,2022-04-11 00:00:00,BTC/USDC,42151.26547869,42418.00467334,39221.38299864,39545.04934569,2951547.86503019,72.36981767
1649548800,2022-04-10 00:00:00,BTC/USDC,42763.37190526,43420.22351606,41913.33570536,42153.57700146,1013307.26071927,23.79243889
1649462400,2022-04-09 00:00:00,BTC/USDC,42261.71936791,42796.79975039,42134.83669569,42740.03537681,1051859.47490907,24.77654528
1649376000,2022-04-08 00:00:00,BTC/USDC,43455.40390528,43968.14851329,42107.38311737,42268.42610496,2286425.25217129,53.01858855
1649289600,2022-04-07 00:00:00,BTC/USDC,43150.54209188,43899.0193812,42765.3105075,43457.11854419,1788273.831415,41.18686675
1649203200,2022-04-06 00:00:00,BTC/USDC,45503.61556673,45510.30866497,43106.91929944,43175.67413925,2689489.62587231,60.64543223
1649116800,2022-04-05 00:00:00,BTC/USDC,46595.07475221,47181.97290348,45390.64688777,45505.919837,2954689.69518172,63.84682774
1649030400,2022-04-04 00:00:00,BTC/USDC,46355.95429197,46892.52730912,45138.67016812,46610.10668092,5477921.32437645,119.06871712
1648944000,2022-04-03 00:00:00,BTC/USDC,45836.22491939,47416.88469447,45532.77412157,46395.98288983,4361007.11146065,94.04952727
1648857600,2022-04-02 00:00:00,BTC/USDC,46231.48454419,47192.62078274,45642.18480912,45811.84482253,3347745.8102567,72.01703031
